Sequence,ID,Netzbetreiber,VSE-ID,Kategorie,Netznutzung,Energie,Abgabe,KEV,Total exkl. MWST
0,11,Aare Versorgungs AG,10120012345,H1,17.4636964285714,7.92540178571429,1.15,2.3,28.8390982142857
1,11,Aare Versorgungs AG,10120012345,H2,14.5906971428571,7.83777142857143,1.15,2.3,25.8784685714286
2,11,Aare Versorgungs AG,10120012345,H3,10.9326095238095,7.06542857142857,1.15,2.3,21.4480380952381
3,11,Aare Versorgungs AG,10120012345,H4,12.4684380952381,7.84338095238095,1.15,2.3,23.761819047619
4,11,Aare Versorgungs AG,10120012345,H5,10.0512914285714,7.15931428571429,1.15,2.3,20.6606057142857
5,11,Aare Versorgungs AG,10120012345,H6,7.46738742857143,6.41779428571429,1.15,2.3,17.3351817142857
6,11,Aare Versorgungs AG,10120012345,H7,9.22292087912088,7.22655494505494,1.15,2.3,19.8994758241758
7,11,Aare Versorgungs AG,10120012345,H8,11.4025,7.84375,1.15,2.3,22.69625
8,11,Aare Versorgungs AG,10120012345,C1,13.0333125,8.72046875,1.15,2.3,25.20378125
9,11,Aare Versorgungs AG,10120012345,C2,11.8447,8.67558333333333,1.15,2.3,23.9702833333333
10,11,Aare Versorgungs AG,10120012345,C3,8.59666666666667,8.74533333333333,1.15,2.3,20.792
11,11,Aare Versorgungs AG,10120012345,C4,7.56525,8.3289,1.15,2.3,19.34415
12,11,Aare Versorgungs AG,10120012345,C5,5.80948,8.3289,0.0,2.3,16.43838
13,11,Aare Versorgungs AG,10120012345,C6,5.36022666666667,8.50663333333333,0.0,2.3,16.16686
14,11,Aare Versorgungs AG,10120012345,C7,4.66952341436402,7.98400280927008,0.0,2.3,14.9535262236341
15,2,Acqua Gas Elettricità SA Chiasso,10175012345,H1,14.575,8.75,2.17,2.3,27.795
16,2,Acqua Gas Elettricità SA Chiasso,10175012345,H2,11.7448,8.624,2.17,2.3,24.8388
17,2,Acqua Gas Elettricità SA Chiasso,10175012345,H3,8.49822222222222,7.54666666666667,2.17,2.3,20.5148888888889
18,2,Acqua Gas Elettricità SA Chiasso,10175012345,H4,9.55911111111111,8.57333333333333,2.17,2.3,22.6024444444444
19,2,Acqua Gas Elettricità SA Chiasso,10175012345,H5,7.53626666666667,7.648,2.17,2.3,19.6542666666667
20,2,Acqua Gas Elettricità SA Chiasso,10175012345,H6,5.36888,6.6344,2.17,2.3,16.47328
21,2,Acqua Gas Elettricità SA Chiasso,10175012345,H7,7.08953846153846,7.87076923076923,2.17,2.3,19.4303076923077
22,2,Acqua Gas Elettricità SA Chiasso,10175012345,H8,8.49313333333333,8.574,2.17,2.3,21.5371333333333
23,2,Acqua Gas Elettricità SA Chiasso,10175012345,C1,8.772625,8.94125,2.17,2.3,22.183875
24,2,Acqua Gas Elettricità SA Chiasso,10175012345,C2,7.59796666666667,8.869,2.17,2.3,20.9369666666667
25,2,Acqua Gas Elettricità SA Chiasso,10175012345,C3,8.54933333333333,7.244,2.17,2.3,20.2633333333333
26,2,Acqua Gas Elettricità SA Chiasso,10175012345,C4,8.0032,6.2623,2.17,2.3,18.7355
27,2,Acqua Gas Elettricità SA Chiasso,10175012345,C5,4.996,6.2623,2.17,2.3,15.7283
28,2,Acqua Gas Elettricità SA Chiasso,10175012345,C6,4.95333333333333,6.344,1.37,2.3,14.9673333333333
29,2,Acqua Gas Elettricità SA Chiasso,10175012345,C7,4.50197367166556,5.98435260899801,1.05,2.3,13.8363262806636
30,3,Administration Communale Courchapoix,10819012345,H1,17.5651785714286,7.83,1.2,2.3,28.8951785714286
31,3,Administration Communale Courchapoix,10819012345,H2,14.926,7.59288,1.2,2.3,26.01888
32,3,Administration Communale Courchapoix,10819012345,H3,11.47,6.59604444444444,1.2,2.3,21.5660444444444
33,3,Administration Communale Courchapoix,10819012345,H4,12.82,7.57404444444445,1.2,2.3,23.8940444444444
34,3,Administration Communale Courchapoix,10819012345,H5,11.4422,6.65482666666667,1.2,2.3,21.5970266666667
35,3,Administration Communale Courchapoix,10819012345,H6,7.94766,5.664448,1.2,2.3,17.112108
36,3,Administration Communale Courchapoix,10819012345,H7,9.74857692307692,6.64701538461538,1.2,2.3,19.8955923076923
37,3,Administration Communale Courchapoix,10819012345,H8,11.78075,7.57458777777778,1.2,2.3,22.8553377777778
38,3,Administration Communale Courchapoix,10819012345,C1,12.33390625,8.04595208333333,1.2,2.3,23.8798583333333
39,3,Administration Communale Courchapoix,10819012345,C3,10.4325555555556,6.60627777777778,1.2,2.3,20.5388333333333
40,3,Administration Communale Courchapoix,10819012345,C4,9.53423333333333,6.35911666666667,1.2,2.3,19.39335
41,4,AEK Energie AG,10270012345,H1,14.265,11.6575,1.1,2.3,29.3225
42,4,AEK Energie AG,10270012345,H2,11.7,10.78,1.1,2.3,25.88
43,4,AEK Energie AG,10270012345,H3,9.09809523809524,9.44666666666667,1.1,2.3,21.9447619047619
44,4,AEK Energie AG,10270012345,H4,9.67333333333333,10.0866666666667,1.1,2.3,23.16
45,4,AEK Energie AG,10270012345,H5,8.06342857142857,9.212,1.1,2.3,20.6754285714286
46,4,AEK Energie AG,10270012345,H6,5.87702857142857,7.9156,1.1,2.3,17.1926285714286
47,4,AEK Energie AG,10270012345,H7,7.58876923076923,9.235,1.1,2.3,20.2237692307692
48,4,AEK Energie AG,10270012345,H8,8.66,9.74,1.1,2.3,21.8
49,4,AEK Energie AG,10270012345,C1,8.565,9.7075,1.1,2.3,21.6725
50,4,AEK Energie AG,10270012345,C2,7.52,10.1948222222222,1.1,2.3,21.1148222222222
51,4,AEK Energie AG,10270012345,C3,8.60711111111111,9.51255555555555,1.0,2.3,21.4196666666667
52,4,AEK Energie AG,10270012345,C4,7.60186666666667,9.01823333333333,1.0,2.3,19.9201
53,4,AEK Energie AG,10270012345,C5,5.40037333333333,9.01823333333333,0.06,2.3,16.7786066666667
54,4,AEK Energie AG,10270012345,C6,4.97936,9.4166,0.02,2.3,16.71596
55,4,AEK Energie AG,10270012345,C7,4.31813853510651,8.97746096775333,0.0,2.3,15.5955995028598
56,5,AEW Energie AG,10117012345,H1,14.190037202381,8.08608630952381,0.9,2.3,25.4761235119048
